 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
     47   ACS1          3.139495     0.972988                               3.232928           15.4        10
     47 Discop          2.885595     0.877046                               3.274123           17.8        10
     47   ACS2          3.273258     0.917016                               3.607613           15.2        10
     48   ACS1          3.225096     0.986575                               3.272071           16.3        10
     48 Discop          2.728472     0.875304                               3.104944           18.2        10
     48   ACS2          3.017100     0.981046                               3.087611           16.4        10
     49   ACS1          3.355970     0.972308                               3.459553           14.8        10
     49 Discop          2.752546     0.878215                               3.149902           18.4        10
     49   ACS2          3.163396     0.973780                               3.249032           16.3        10
     50   ACS1          3.282920     0.976323                               3.387575           16.3        10
     50 Discop          2.682791     0.876022                               3.041139           19.5        10
     50   ACS2          3.353898     0.954058                               3.508318           15.4        10
     51   ACS1          3.789892     0.978154                               3.876476           13.9        10
     51 Discop          3.040596     0.892431                               3.405219           17.7        10
     51   ACS2          2.851116     0.973672                               2.933102           18.8        10
     52   ACS1          3.128442     0.972560                               3.215223           17.1        10
     52 Discop          2.817789     0.854239                               3.309915           18.7        10
     52   ACS2          3.183350     0.961916                               3.290953           18.5        10
     53   ACS1          3.209844     0.968793                               3.315985           17.3        10
     53 Discop          2.521046     0.852427                               2.949781           22.7        10
     53   ACS2          2.985870     0.977573                               3.051645           18.3        10
     54   ACS1          3.240056     0.958888                               3.378879           16.9        10
     54 Discop          2.835773     0.871277                               3.237160           21.4        10
     54   ACS2          2.933070     0.977059                               2.993895           19.3        10
     55   ACS1          3.451594     0.968658                               3.564661           16.5        10
     55 Discop          2.497794     0.851094                               2.934855           22.4        10
     55   ACS2          3.001709     0.971918                               3.090724           18.9        10
     56   ACS1          2.942952     0.968452                               3.033229           19.9        10
     56 Discop          3.016381     0.885348                               3.397375           19.2        10
     56   ACS2          2.988048     0.955647                               3.141222           20.0        10
     57   ACS1          3.341011     0.982507                               3.399324           17.3        10
     57 Discop          2.870576     0.868872                               3.288885           20.5        10
     57   ACS2          2.952522     0.962746                               3.094830           20.9        10
     58   ACS1          3.058350     0.953349                               3.204412           19.6        10
     58 Discop          3.077146     0.874493                               3.538765           20.5        10
     58   ACS2          3.108832     0.954570                               3.269155           19.7        10
     59   ACS1          3.156313     0.975740                               3.243484           19.6        10
     59 Discop          3.032094     0.875490                               3.465986           19.6        10
     59   ACS2          3.048745     0.981076                               3.113426           20.4        10
     60   ACS1          3.042035     0.978073                               3.110602           20.9        10
     60 Discop          3.119872     0.909121                               3.423659           19.9        10
     60   ACS2          3.111454     0.977160                               3.182906           20.0        10
     61   ACS1          3.156159     0.968299                               3.269608           20.1        10
     61 Discop          3.146554     0.880145                               3.566409           20.3        10
     61   ACS2          3.083265     0.984789                               3.133313           20.3        10
     62   ACS1          2.987960     0.980392                               3.052252           21.9        10
     62 Discop          2.900656     0.890188                               3.262669           23.4        10
     62   ACS2          3.149310     0.977717                               3.220865           20.2        10
     63   ACS1          3.052081     0.966170                               3.169268           21.4        10
     63 Discop          2.707018     0.851734                               3.172620           23.8        10
     63   ACS2          2.948806     0.966533                               3.058508           21.5        10
     64   ACS1          3.016640     0.984482                               3.062675           21.6        10
     64 Discop          2.895296     0.893102                               3.238047           23.4        10
     64   ACS2          3.135608     0.962718                               3.286961           21.1        10
     65   ACS1          3.130000     0.975905                               3.210127           21.2        10
     65 Discop          3.107910     0.872261                               3.557320           22.4        10
     65   ACS2          3.181159     0.978842                               3.256983           21.2        10
     66   ACS1          3.405467     0.983225                               3.468249           20.1        10
     66 Discop          2.686295     0.860354                               3.111055           26.6        10
     66   ACS2          3.430338     0.977705                               3.508161           19.7        10
     67   ACS1          3.050100     0.957503                               3.189411           22.5        10
     67 Discop          2.802662     0.874834                               3.205818           25.8        10
     67   ACS2          2.768757     0.980161                               2.825104           25.2        10
     68   ACS1          3.459687     0.980286                               3.522949           21.1        10
     68 Discop          2.728707     0.883349                               3.077685           25.9        10
     68   ACS2          3.372689     0.969678                               3.478268           21.6        10
     69   ACS1          3.050445     0.982402                               3.106581           23.8        10
     69 Discop          2.646121     0.869899                               3.036415           27.0        10
     69   ACS2          2.895934     0.972010                               2.982072           25.1        10
     70   ACS1          3.346054     0.984718                               3.403895           22.2        10
     70 Discop          3.197403     0.875044                               3.647245           23.3        10
     70   ACS2          2.849127     0.986630                               2.891536           25.0        10
     71   ACS1          3.006180     0.982701                               3.062211           25.6        10
     71 Discop          2.823510     0.880577                               3.211472           26.6        10
     71   ACS2          2.954465     0.975357                               3.033211           24.9        10
     72   ACS1          2.988240     0.974359                               3.062855           24.7        10
     72 Discop          2.699260     0.884310                               3.042751           28.3        10
     72   ACS2          3.348656     0.975533                               3.438602           23.5        10
     73   ACS1          3.201992     0.959945                               3.335171           23.5        10
     73 Discop          2.624581     0.864080                               3.028056           29.5        10
     73   ACS2          3.290123     0.972446                               3.398587           23.8        10
     74   ACS1          2.902602     0.984113                               2.948610           25.8        10
     74 Discop          3.089954     0.893159                               3.470680           24.2        10
     74   ACS2          2.824540     0.984558                               2.877501           28.2        10
     75   ACS1          3.260368     0.983738                               3.311123           24.2        10
     75 Discop          2.624132     0.875567                               3.000145           29.8        10
     75   ACS2          3.110570     0.972218                               3.203744           25.4        10
     76   ACS1          2.947196     0.973287                               3.021009           26.7        10
     76 Discop          2.910994     0.871712                               3.332636           27.3        10
     76   ACS2          3.420587     0.984150                               3.480687           23.4        10
     77   ACS1          2.928413     0.980651                               2.990830           26.9        10
     77 Discop          2.839153     0.872532                               3.255832           27.7        10
