       R_bits_per_token                   utilization                   entropy_rate_bits_per_token                   mean_N_tokens                    
method             ACS1     ACS2   Discop        ACS1     ACS2   Discop                        ACS1     ACS2   Discop          ACS1      ACS2    Discop
m_bits                                                                                                                                                 
57             6.627907 6.627907 6.000000    0.938366 0.927630 0.898104                    7.063241 7.144990 6.680742      8.600000  8.600000  9.500000
58             6.590909 6.105263 6.304348    0.960129 0.945519 0.891516                    6.864609 6.457050 7.071489      8.800000  9.500000  9.200000
59             6.210526 6.555556 5.841584    0.938799 0.943620 0.897599                    6.615395 6.947240 6.508009      9.500000  9.000000 10.100000
60             6.593407 6.451613 6.315789    0.959508 0.943408 0.914173                    6.871657 6.838625 6.908750      9.100000  9.300000  9.500000
61             6.777778 6.630435 6.354167    0.973769 0.970712 0.913724                    6.960352 6.830484 6.954139      9.000000  9.200000  9.600000
62             6.888889 6.888889 6.595745    0.960999 0.946005 0.915459                    7.168467 7.282085 7.204849      9.000000  9.000000  9.400000
63             6.702128 6.631579 6.428571    0.955935 0.961302 0.925947                    7.011070 6.898539 6.942701      9.400000  9.500000  9.800000
64             6.336634 6.530612 6.095238    0.952312 0.950250 0.911037                    6.653950 6.872520 6.690442     10.100000  9.800000 10.500000
65             6.914894 6.701031 6.565657    0.956355 0.946344 0.921628                    7.230468 7.080967 7.123981      9.400000  9.700000  9.900000
66             6.000000 6.534653 6.407767    0.947490 0.943749 0.912907                    6.332521 6.924143 7.019077     11.000000 10.100000 10.300000
67             6.568627 6.907216 6.442308    0.961776 0.949400 0.906302                    6.829685 7.275346 7.108348     10.200000  9.700000 10.400000
68             6.666667 6.476190 6.732673    0.953301 0.959992 0.922217                    6.993242 6.746088 7.300533     10.200000 10.500000 10.100000
69             6.831683 6.699029 6.831683    0.962623 0.962280 0.909590                    7.096945 6.961624 7.510729     10.100000 10.300000 10.100000
70             6.306306 6.481481 6.086957    0.958929 0.950446 0.899507                    6.576406 6.819411 6.766989     11.100000 10.800000 11.500000
71             6.761905 6.635514 6.454545    0.973678 0.947204 0.912953                    6.944707 7.005366 7.069966     10.500000 10.700000 11.000000
72             6.545455 6.605505 6.101695    0.970412 0.972265 0.899347                    6.745029 6.793937 6.784580     11.000000 10.900000 11.800000
73             6.697248 7.087379 6.697248    0.975545 0.955943 0.943960                    6.865135 7.414021 7.094844     10.900000 10.300000 10.900000
74             6.851852 6.434783 6.379310    0.958922 0.971141 0.912398                    7.145367 6.626003 6.991808     10.800000 11.500000 11.600000
75             6.355932 6.637168 6.097561    0.945001 0.960479 0.901119                    6.725846 6.910269 6.766653     11.800000 11.300000 12.300000
76             6.608696 6.909091 6.440678    0.953946 0.961458 0.940083                    6.927743 7.186058 6.851180     11.500000 11.000000 11.800000
77             6.637931 6.695652 6.260163    0.956192 0.955996 0.911956                    6.942046 7.003848 6.864544     11.600000 11.500000 12.300000
78             6.782609 6.724138 6.093750    0.950086 0.970137 0.904605                    7.138945 6.931124 6.736363     11.500000 11.600000 12.800000
79             6.528926 6.752137 6.269841    0.965736 0.969534 0.906417                    6.760569 6.964312 6.917172     12.100000 11.700000 12.600000
80             6.451613 6.779661 6.400000    0.960222 0.949359 0.924116                    6.718879 7.141307 6.925538     12.400000 11.800000 12.500000
81             5.955882 6.428571 6.230769    0.962281 0.967583 0.928010                    6.189339 6.643950 6.714117     13.600000 12.600000 13.000000
82             6.666667 6.721311 6.560000    0.945642 0.952417 0.902724                    7.049882 7.057113 7.266894     12.300000 12.200000 12.500000
83             6.693548 6.384615 6.693548    0.945831 0.962176 0.927547                    7.076897 6.635599 7.216395     12.400000 13.000000 12.400000
84             6.829268 6.562500 6.666667    0.961374 0.963639 0.926473                    7.103652 6.810125 7.195747     12.300000 12.800000 12.600000
85             6.692913 6.589147 6.343284    0.957424 0.955215 0.907523                    6.990540 6.898075 6.989663     12.700000 12.900000 13.400000
86             6.771654 6.771654 6.564885    0.970510 0.953321 0.932692                    6.977414 7.103227 7.038643     12.700000 12.700000 13.100000
87             6.590909 6.641221 6.350365    0.957243 0.956149 0.921303                    6.885302 6.945803 6.892806     13.200000 13.100000 13.700000
88             6.769231 6.518519 6.470588    0.955413 0.948150 0.934246                    7.085133 6.874984 6.925999     13.000000 13.500000 13.600000
89             6.223776 6.449275 6.312057    0.962145 0.962189 0.936400                    6.468645 6.702709 6.740769     14.300000 13.800000 14.100000
90             6.617647 6.382979 6.293706    0.974437 0.963133 0.925614                    6.791253 6.627305 6.799497     13.600000 14.100000 14.300000
91             6.546763 6.842105 6.546763    0.960066 0.974511 0.935637                    6.819073 7.021063 6.997116     13.900000 13.300000 13.900000
92             6.666667 6.865672 6.052632    0.957920 0.971014 0.908437                    6.959520 7.070620 6.662689     13.800000 13.400000 15.200000
93             6.595745 6.642857 6.503497    0.972943 0.971527 0.930604                    6.779171 6.837544 6.988471     14.100000 14.000000 14.300000
94             6.762590 6.762590 6.482759    0.972365 0.956464 0.930583                    6.954787 7.070404 6.966339     13.900000 13.900000 14.500000
95             7.037037 6.737589 6.333333    0.967724 0.964525 0.920706                    7.271743 6.985397 6.878783     13.500000 14.100000 15.000000
96             6.808511 6.713287 6.315789    0.965978 0.962866 0.925660                    7.048310 6.972189 6.823014     14.100000 14.300000 15.200000
97             6.298701 6.298701 6.466667    0.974088 0.976588 0.936842                    6.466254 6.449702 6.902626     15.400000 15.400000 15.000000
98             6.901408 6.853147 6.666667    0.959170 0.969032 0.926505                    7.195188 7.072154 7.195503     14.200000 14.300000 14.700000
99             6.556291 6.780822 6.470588    0.971770 0.979773 0.932681                    6.746755 6.920810 6.937623     15.100000 14.600000 15.300000
100            6.329114 6.493506 6.211180    0.974707 0.966892 0.918335                    6.493353 6.715858 6.763524     15.800000 15.400000 16.100000
101            6.688742 6.433121 6.312500    0.970846 0.965813 0.924869                    6.889602 6.660838 6.825291     15.100000 15.700000 16.000000
102            6.754967 6.580645 6.181818    0.970448 0.964556 0.917431                    6.960667 6.822463 6.738181     15.100000 15.500000 16.500000
103            6.821192 6.602564 6.242424    0.978672 0.962258 0.919028                    6.969844 6.861533 6.792419     15.100000 15.600000 16.500000
104            6.753247 6.797386 6.265060    0.965466 0.968111 0.929039                    6.994803 7.021288 6.743591     15.400000 15.300000 16.600000
